run,comparison,s3i
15,c2=4,0.41622233
16,c2=4,0.29876381
17,c2=4,0.37282322
18,c2=4,0.36640917
19,c2=4,0.34911970
20,c2=4,0.29362453
21,c2=4,0.39910618
22,c2=4,0.34820697
23,c2=4,0.45723892
24,c2=4,0.46006163
25,c2=4,0.48641104
26,c2=4,0.25177380
27,c2=4,0.57031659
28,c2=4,0.43294698
29,c2=4,0.58485905
30,c2=4,0.51903133
31,c2=4,0.37074064
32,c2=4,0.42590141
33,c2=4,0.34546322
34,c2=4,0.27260552
35,c2=4,0.49990331
36,c2=4,0.27927329
37,c2=4,0.18613813
38,c2=4,0.47443397
39,c2=4,0.30013814
40,c2=4,0.31460322
41,c2=4,0.28254540
42,c2=4,0.39409360
43,c2=4,0.50111634
44,c2=4,0.34685081
45,c2=4,0.28439251
46,c2=4,0.37836437
47,c2=4,0.43837212
48,c2=4,0.16483262
49,c2=4,0.37846068
50,c2=4,0.36924404
51,c2=4,0.37597375
52,c2=4,0.37836107
53,c2=4,0.17937840
54,c2=4,0.38072192
55,c2=4,0.37006271
56,c2=4,0.54714075
57,c2=4,0.44743311
58,c2=4,0.26498279
59,c2=4,0.27738151
60,c2=4,0.41287482
61,c2=4,0.25741296
62,c2=4,0.38723584
63,c2=4,0.41296907
64,c2=4,0.48886451
65,c2=4,0.34518366
66,c2=4,0.58536587
67,c2=4,0.41644475
68,c2=4,0.40719469
69,c2=4,0.37871625
70,c2=4,0.40611068
71,c2=4,0.41935681
72,c2=4,0.32749350
73,c2=4,0.59546192
74,c2=4,0.49769410
75,c2=4,0.36878756
76,c2=4,0.46784357
77,c2=4,0.32657350
78,c2=4,0.39059687
79,c2=4,0.58722351
80,c2=4,0.31071952
81,c2=4,0.26636211
82,c2=4,0.40286016
83,c2=4,0.37187536
84,c2=4,0.26414310
85,c2=4,0.30888353
86,c2=4,0.29920429
87,c2=4,0.29577825
88,c2=4,0.25854256
89,c2=4,0.35078663
90,c2=4,0.25039454
91,c2=4,0.40494506
92,c2=4,0.22336746
93,c2=4,0.50769426
94,c2=4,0.55243147
95,c2=4,0.34712504
96,c2=4,0.31182674
97,c2=4,0.45543011
98,c2=4,0.36883626
99,c2=4,0.27556601
100,c2=4,0.36682448
1,c2=5,0.71958439
2,c2=5,0.60159283
3,c2=5,0.79164900
4,c2=5,0.49744801
5,c2=5,0.73725110
6,c2=5,0.60691842
7,c2=5,0.52761634
8,c2=5,0.51090236
9,c2=5,0.50385594
10,c2=5,0.40963730
11,c2=5,0.52764434
12,c2=5,0.62792693
13,c2=5,0.78118928
14,c2=5,0.40221780
15,c2=5,0.69299207
16,c2=5,0.56024104
17,c2=5,0.57204540
18,c2=5,0.64939988
19,c2=5,0.59709670
20,c2=5,0.56057634
21,c2=5,0.57853002
22,c2=5,0.57453447
23,c2=5,0.74058094
24,c2=5,0.68038523
25,c2=5,0.63224798
26,c2=5,0.52429125
27,c2=5,0.72017089
28,c2=5,0.60677403
29,c2=5,0.82025681
30,c2=5,0.64741512
31,c2=5,0.53643905
32,c2=5,0.65081168
33,c2=5,0.53328319
34,c2=5,0.46966262
35,c2=5,0.64538418
36,c2=5,0.41917978
37,c2=5,0.37917399
38,c2=5,0.65639905
39,c2=5,0.49148976
40,c2=5,0.59559943
41,c2=5,0.63262582
42,c2=5,0.59171496
43,c2=5,0.73802355
44,c2=5,0.60655456
45,c2=5,0.49887919
46,c2=5,0.58234430
47,c2=5,0.70285604
48,c2=5,0.38550310
49,c2=5,0.48366998
50,c2=5,0.57605154
51,c2=5,0.57610342
52,c2=5,0.54719816
53,c2=5,0.47114735
54,c2=5,0.62349444
55,c2=5,0.59693935
56,c2=5,0.65754689
57,c2=5,0.64810952
58,c2=5,0.43575024
59,c2=5,0.47201760
60,c2=5,0.55782905
61,c2=5,0.52778231
62,c2=5,0.66407800
63,c2=5,0.58734319
64,c2=5,0.70647083
65,c2=5,0.51669892
66,c2=5,0.69957290
67,c2=5,0.59555750
68,c2=5,0.63985427
69,c2=5,0.58868145
70,c2=5,0.50998800
71,c2=5,0.59205177
72,c2=5,0.40947668
73,c2=5,0.72984152
74,c2=5,0.66642964
75,c2=5,0.57671584
76,c2=5,0.54929447
77,c2=5,0.52145101
78,c2=5,0.58838799
79,c2=5,0.78101825
80,c2=5,0.61132579
81,c2=5,0.59076675
82,c2=5,0.58511106
83,c2=5,0.59124951
84,c2=5,0.58352000
85,c2=5,0.62024923
86,c2=5,0.46382397
87,c2=5,0.43440486
88,c2=5,0.53535876
89,c2=5,0.44940999
90,c2=5,0.51323931
91,c2=5,0.56514694
92,c2=5,0.48534590
93,c2=5,0.69106748
94,c2=5,0.68463504
95,c2=5,0.46131607
96,c2=5,0.57509214
97,c2=5,0.60849153
98,c2=5,0.56476723
99,c2=5,0.44946814
100,c2=5,0.60392552
