run,comparison,s3i
15,L2=40,2.16640482
16,L2=40,2.16829490
17,L2=40,2.22020747
18,L2=40,2.51720809
19,L2=40,2.26435992
20,L2=40,2.29284195
21,L2=40,2.28163491
22,L2=40,2.39648108
23,L2=40,2.18583609
24,L2=40,2.45489816
25,L2=40,2.09715583
26,L2=40,2.23689833
27,L2=40,2.41083001
28,L2=40,2.07413271
29,L2=40,2.33699585
30,L2=40,2.27898524
31,L2=40,2.37239194
32,L2=40,2.17217202
33,L2=40,2.42023357
34,L2=40,2.18001255
35,L2=40,2.11004238
36,L2=40,2.36103171
37,L2=40,2.22982612
38,L2=40,2.35951952
39,L2=40,2.19682411
40,L2=40,2.18147947
41,L2=40,2.60289955
42,L2=40,2.16013022
43,L2=40,2.20704667
44,L2=40,2.14090740
45,L2=40,2.12853343
46,L2=40,2.23527478
47,L2=40,2.17777083
48,L2=40,2.28375063
49,L2=40,2.43022905
50,L2=40,2.38361893
51,L2=40,2.27003892
52,L2=40,2.12526846
53,L2=40,2.43053952
54,L2=40,2.41299360
55,L2=40,2.19513482
56,L2=40,2.13987703
57,L2=40,2.38699471
58,L2=40,2.34761201
59,L2=40,2.54941071
60,L2=40,2.23704342
61,L2=40,2.31754507
62,L2=40,2.34920889
63,L2=40,2.46629212
64,L2=40,2.12215233
65,L2=40,2.22176001
66,L2=40,2.33693713
67,L2=40,2.32250717
68,L2=40,2.31272982
69,L2=40,2.24542944
70,L2=40,2.36805909
71,L2=40,2.12140201
72,L2=40,2.21107264
73,L2=40,2.25482431
74,L2=40,2.29120999
75,L2=40,2.39945559
76,L2=40,2.17969307
77,L2=40,2.30647966
78,L2=40,2.53484758
79,L2=40,2.09129066
80,L2=40,2.53154304
81,L2=40,2.21160048
82,L2=40,2.20830486
83,L2=40,2.38347718
84,L2=40,2.30093163
85,L2=40,2.21820237
86,L2=40,2.20701175
87,L2=40,2.12035463
88,L2=40,2.40531736
89,L2=40,2.38527384
90,L2=40,2.31462592
91,L2=40,2.47829045
