run,noise_level,s3i
33,c=3,0.32809750
34,c=3,0.30443212
35,c=3,0.25710496
36,c=3,0.32265098
37,c=3,0.30144650
38,c=3,0.35915764
39,c=3,0.41981505
40,c=3,0.36064035
41,c=3,0.42779360
42,c=3,0.37107597
43,c=3,0.32495462
44,c=3,0.34921024
45,c=3,0.36641520
46,c=3,0.29299434
47,c=3,0.28621128
48,c=3,0.29623571
49,c=3,0.37540827
50,c=3,0.34240653
51,c=3,0.31413774
52,c=3,0.31511787
53,c=3,0.31255165
54,c=3,0.35062104
55,c=3,0.34587291
56,c=3,0.31499199
57,c=3,0.29232974
58,c=3,0.31888329
59,c=3,0.32659615
60,c=3,0.39412630
61,c=3,0.35654038
62,c=3,0.37832004
63,c=3,0.35552323
64,c=3,0.30769789
65,c=3,0.34750172
66,c=3,0.29050131
67,c=3,0.34097508
68,c=3,0.30223829
69,c=3,0.45550933
70,c=3,0.33565095
71,c=3,0.32454092
72,c=3,0.29379664
73,c=3,0.33387162
74,c=3,0.32845064
75,c=3,0.33709663
76,c=3,0.28157173
77,c=3,0.37727728
78,c=3,0.36484485
79,c=3,0.29562810
80,c=3,0.36470619
81,c=3,0.31795734
82,c=3,0.34476152
83,c=3,0.30035707
84,c=3,0.36021225
85,c=3,0.34847383
86,c=3,0.27676786
87,c=3,0.35216437
88,c=3,0.31459383
89,c=3,0.28112928
90,c=3,0.33426886
91,c=3,0.26109699
92,c=3,0.29598983
93,c=3,0.34839040
94,c=3,0.30027161
95,c=3,0.36368190
96,c=3,0.43008497
97,c=3,0.34355594
98,c=3,0.31116132
99,c=3,0.28027313
100,c=3,0.30569040
1,c=4,0.32235161
2,c=4,0.29079085
3,c=4,0.27239086
4,c=4,0.36848687
5,c=4,0.37410682
6,c=4,0.32211831
7,c=4,0.36925394
8,c=4,0.33298925
9,c=4,0.31187085
10,c=4,0.43194783
11,c=4,0.37454205
12,c=4,0.32565349
13,c=4,0.35985895
14,c=4,0.32129318
15,c=4,0.31956659
16,c=4,0.38170877
17,c=4,0.32821564
18,c=4,0.31246377
19,c=4,0.32096503
20,c=4,0.29130518
21,c=4,0.34106864
22,c=4,0.31512337
23,c=4,0.32390239
24,c=4,0.40655753
25,c=4,0.29579864
26,c=4,0.37912708
27,c=4,0.31995543
28,c=4,0.50069021
29,c=4,0.30250037
30,c=4,0.32493446
31,c=4,0.38916517
32,c=4,0.40967353
33,c=4,0.32739723
34,c=4,0.27521288
35,c=4,0.34367077
36,c=4,0.34350430
37,c=4,0.29768430
38,c=4,0.32125101
39,c=4,0.39605274
40,c=4,0.32339397
41,c=4,0.42206083
42,c=4,0.35653939
43,c=4,0.35923206
44,c=4,0.36440737
45,c=4,0.40766585
46,c=4,0.26580960
47,c=4,0.26543236
48,c=4,0.37393126
49,c=4,0.35442807
50,c=4,0.30430705
51,c=4,0.27990254
52,c=4,0.33469436
53,c=4,0.37690873
54,c=4,0.33731402
55,c=4,0.31380139
56,c=4,0.36851608
57,c=4,0.38731889
58,c=4,0.35175236
59,c=4,0.33314161
60,c=4,0.34384556
61,c=4,0.29220573
62,c=4,0.41290306
63,c=4,0.34837156
64,c=4,0.36426886
65,c=4,0.35811355
66,c=4,0.32130239
